SQ_CANDIDATO,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,SQ_CANDIDATO,NM_CANDIDATO,QT_VOTOS_NOMINAIS
210000729106,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729106,DIONÊS GABANA DE SOUZA,31
210000729106,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729106,DIONÊS GABANA DE SOUZA,18
210000729106,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729106,DIONÊS GABANA DE SOUZA,215
210000729106,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729106,DIONÊS GABANA DE SOUZA,19
210000729106,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729106,DIONÊS GABANA DE SOUZA,11
210000729106,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729106,DIONÊS GABANA DE SOUZA,54
210000729106,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729106,DIONÊS GABANA DE SOUZA,19
210000729106,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729106,DIONÊS GABANA DE SOUZA,31
210000729106,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729106,DIONÊS GABANA DE SOUZA,26
210000729106,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729106,DIONÊS GABANA DE SOUZA,43
210000729127,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729127,YOLANDA SIRINO DA SILVA,49
210000729127,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729127,YOLANDA SIRINO DA SILVA,30
210000763442,2020,88013,PORTO ALEGRE,13,VEREADOR,210000763442,HAMILTON SOSSMEIER,478
210000763442,2020,88013,PORTO ALEGRE,13,VEREADOR,210000763442,HAMILTON SOSSMEIER,287
210000763442,2020,88013,PORTO ALEGRE,13,VEREADOR,210000763442,HAMILTON SOSSMEIER,270
210000763442,2020,88013,PORTO ALEGRE,13,VEREADOR,210000763442,HAMILTON SOSSMEIER,165
210000763442,2020,88013,PORTO ALEGRE,13,VEREADOR,210000763442,HAMILTON SOSSMEIER,448
210000763442,2020,88013,PORTO ALEGRE,13,VEREADOR,210000763442,HAMILTON SOSSMEIER,163
210000763442,2020,88013,PORTO ALEGRE,13,VEREADOR,210000763442,HAMILTON SOSSMEIER,400
210000763442,2020,88013,PORTO ALEGRE,13,VEREADOR,210000763442,HAMILTON SOSSMEIER,415
210000763442,2020,88013,PORTO ALEGRE,13,VEREADOR,210000763442,HAMILTON SOSSMEIER,286
210000763442,2020,88013,PORTO ALEGRE,13,VEREADOR,210000763442,HAMILTON SOSSMEIER,387
210000729127,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729127,YOLANDA SIRINO DA SILVA,3
210000729127,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729127,YOLANDA SIRINO DA SILVA,9
210000729127,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729127,YOLANDA SIRINO DA SILVA,20
210000729127,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729127,YOLANDA SIRINO DA SILVA,15
210000729127,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729127,YOLANDA SIRINO DA SILVA,17
210000729127,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729127,YOLANDA SIRINO DA SILVA,16
210000729127,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729127,YOLANDA SIRINO DA SILVA,80
210000729127,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729127,YOLANDA SIRINO DA SILVA,22
210000729123,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729123,VALTENCIR OLIVEIRA DA CRUZ,7
210000729123,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729123,VALTENCIR OLIVEIRA DA CRUZ,5
210000729123,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729123,VALTENCIR OLIVEIRA DA CRUZ,24
210000729123,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729123,VALTENCIR OLIVEIRA DA CRUZ,4
210000729123,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729123,VALTENCIR OLIVEIRA DA CRUZ,1
210000729123,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729123,VALTENCIR OLIVEIRA DA CRUZ,2
210000729123,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729123,VALTENCIR OLIVEIRA DA CRUZ,6
210000729123,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729123,VALTENCIR OLIVEIRA DA CRUZ,2
210000729123,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729123,VALTENCIR OLIVEIRA DA CRUZ,291
210000729123,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729123,VALTENCIR OLIVEIRA DA CRUZ,20
210000729113,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729113,AILTON SOARES MORAES,4
210000729113,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729113,AILTON SOARES MORAES,40
210000729113,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729113,AILTON SOARES MORAES,280
210000729113,2020,88013,PORTO ALEGRE,13,VEREADOR,210000729113,AILTON SOARES MORAES,24
