SQ_CANDIDATO,QT_VOTOS_NOMINAIS,DS_SIT_TOT_TURNO
210000001305,2309,NÃO ELEITO
210000001307,184,NÃO ELEITO
210000001308,180,NÃO ELEITO
210000001309,35,NÃO ELEITO
210000001310,109,NÃO ELEITO
210000001311,100,NÃO ELEITO
210000001312,16,NÃO ELEITO
210000001313,160,NÃO ELEITO
210000001314,95,NÃO ELEITO
210000001315,39,NÃO ELEITO
210000001316,178,NÃO ELEITO
210000001317,84,NÃO ELEITO
210000001318,50,NÃO ELEITO
210000001319,8,NÃO ELEITO
210000001320,846,ELEITO POR QP
210000001321,141,SUPLENTE
210000001322,562,ELEITO POR QP
210000001323,73,SUPLENTE
210000001324,93,SUPLENTE
210000001325,304,SUPLENTE
210000001326,5814,ELEITO
210000001327,233,SUPLENTE
210000001328,105,SUPLENTE
210000001329,147,SUPLENTE
210000001330,299,SUPLENTE
210000001331,402,ELEITO POR QP
210000001332,314,SUPLENTE
210000001333,385,ELEITO POR QP
210000001334,16,SUPLENTE
210000001335,106,SUPLENTE
210000001336,174,SUPLENTE
210000001337,522,ELEITO POR QP
210000001366,129,SUPLENTE
210000001367,43,SUPLENTE
210000001368,114,SUPLENTE
210000001369,9,SUPLENTE
210000001370,96,SUPLENTE
210000001371,186,SUPLENTE
210000001372,104,SUPLENTE
210000001373,1121,ELEITO POR QP
210000001374,16,SUPLENTE
210000001375,23940,ELEITO
210000001377,565,NÃO ELEITO
210000001379,27,SUPLENTE
210000001380,49,SUPLENTE
210000001381,23,SUPLENTE
210000001382,16,SUPLENTE
210000001383,43,SUPLENTE
210000001384,94,ELEITO POR QP
210000001385,7,SUPLENTE
210000001386,23,SUPLENTE
210000001387,20,SUPLENTE
210000001388,58,SUPLENTE
210000001389,77,ELEITO POR QP
210000001390,4,SUPLENTE
210000001391,157,ELEITO POR QP
210000001392,135,ELEITO POR QP
210000001393,92,SUPLENTE
210000001394,96,SUPLENTE
210000001395,47,SUPLENTE
210000001397,70,SUPLENTE
210000001398,210,ELEITO POR QP
210000001399,173,ELEITO POR QP
210000001400,177,ELEITO POR QP
210000001401,105,SUPLENTE
210000001402,353,ELEITO POR QP
210000001403,189,ELEITO POR QP
210000001404,107,SUPLENTE
210000001405,31,SUPLENTE
210000001406,57,SUPLENTE
210000001407,118,ELEITO POR MÉDIA
210000001408,181,ELEITO POR QP
210000001410,1245,ELEITO
210000001411,2467,ELEITO
210000001413,50,SUPLENTE
210000001414,74,SUPLENTE
210000001415,226,ELEITO POR QP
210000001416,52,SUPLENTE
210000001417,114,SUPLENTE
210000001418,59,SUPLENTE
210000001419,58,SUPLENTE
210000001420,63,SUPLENTE
210000001421,129,SUPLENTE
210000001422,142,SUPLENTE
210000001423,202,ELEITO POR MÉDIA
210000001424,227,ELEITO POR QP
210000001425,129,SUPLENTE
210000001426,183,SUPLENTE
210000001427,139,SUPLENTE
210000001428,235,ELEITO POR QP
210000001429,291,ELEITO POR QP
210000001430,86,SUPLENTE
210000001431,216,SUPLENTE
210000001432,573,SUPLENTE
210000001433,430,SUPLENTE
210000001434,68,SUPLENTE
210000001435,297,SUPLENTE
210000001436,57,SUPLENTE
210000001437,1199,ELEITO POR QP
210000001438,382,SUPLENTE
210000001439,909,ELEITO POR QP
210000001440,2125,ELEITO POR QP
210000001441,134,SUPLENTE
210000001442,55,SUPLENTE
210000001443,147,SUPLENTE
210000001444,51,SUPLENTE
210000001445,231,SUPLENTE
210000001446,366,SUPLENTE
210000001447,63,SUPLENTE
210000001448,47,SUPLENTE
210000001449,260,SUPLENTE
210000001450,461,SUPLENTE
210000001451,495,SUPLENTE
210000001452,241,SUPLENTE
210000001453,847,ELEITO POR MÉDIA
210000001454,572,SUPLENTE
210000001455,23,SUPLENTE
210000001456,895,ELEITO POR QP
210000001457,803,SUPLENTE
210000001458,51,SUPLENTE
210000001459,126,SUPLENTE
210000001460,110,SUPLENTE
210000001461,236,SUPLENTE
210000001462,6,SUPLENTE
210000001463,769,NÃO ELEITO
210000001465,50,SUPLENTE
210000001466,109,ELEITO POR QP
210000001467,104,ELEITO POR QP
210000001468,61,SUPLENTE
210000001469,71,SUPLENTE
210000001470,102,ELEITO POR QP
210000001471,100,ELEITO POR QP
210000001472,72,SUPLENTE
210000001473,94,ELEITO POR MÉDIA
210000001474,104,ELEITO POR QP
210000001475,46,SUPLENTE
210000001476,39,SUPLENTE
210000001477,71,SUPLENTE
210000001478,52,SUPLENTE
210000001479,14,SUPLENTE
210000001480,28,SUPLENTE
210000001481,28,SUPLENTE
210000001482,59,SUPLENTE
210000001483,19,SUPLENTE
210000001484,24,SUPLENTE
210000001485,83,SUPLENTE
210000001486,156,SUPLENTE
210000001487,189,ELEITO POR MÉDIA
210000001488,172,SUPLENTE
210000001489,64,SUPLENTE
210000001490,229,ELEITO POR QP
210000001491,27,SUPLENTE
210000001492,84,SUPLENTE
210000001493,144,SUPLENTE
210000001494,154,SUPLENTE
210000001495,16,SUPLENTE
210000001496,123,SUPLENTE
210000001497,80,SUPLENTE
210000001498,39,SUPLENTE
210000001499,239,ELEITO POR QP
210000001500,16207,ELEITO
210000001502,3999,ELEITO
210000001504,31,SUPLENTE
210000001505,32,SUPLENTE
210000001506,84,SUPLENTE
210000001507,55,SUPLENTE
210000001508,27,SUPLENTE
210000001509,17,SUPLENTE
210000001510,57,SUPLENTE
