SQ_CANDIDATO,ANO_ELEICAO,SG_UE,NM_UE,CD_CARGO,DS_CARGO,NM_CANDIDATO,CD_GENERO,DS_GENERO,CD_GRAU_INSTRUCAO,DS_GRAU_INSTRUCAO,CD_COR_RACA,DS_COR_RACA
210000024710,2016,88013,PORTO ALEGRE,13,VEREADOR,LUIZ FERNANDO NOBIA MARTINS,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,1,BRANCA
210000031600,2016,88013,PORTO ALEGRE,13,VEREADOR,DANIEL FORTES VELASQUES,2,MASCULINO,4,ENSINO FUNDAMENTAL COMPLETO,1,BRANCA
210000024649,2016,88013,PORTO ALEGRE,13,VEREADOR,MARISE DE OLIVEIRA GOMES,4,FEMININO,8,SUPERIOR COMPLETO,2,PRETA
210000024695,2016,88013,PORTO ALEGRE,13,VEREADOR,VINICIUS KASTER,2,MASCULINO,8,SUPERIOR COMPLETO,1,BRANCA
210000031068,2016,88013,PORTO ALEGRE,13,VEREADOR,SERGIO DA SILVA FALCAO,2,MASCULINO,7,SUPERIOR INCOMPLETO,1,BRANCA
210000023977,2016,88013,PORTO ALEGRE,13,VEREADOR,RENAN CAMBOIM PEREIRA,2,MASCULINO,7,SUPERIOR INCOMPLETO,2,PRETA
210000022209,2016,88013,PORTO ALEGRE,13,VEREADOR,ANTONIO LUIS BERED SACOMORI,2,MASCULINO,8,SUPERIOR COMPLETO,1,BRANCA
210000023952,2016,88013,PORTO ALEGRE,13,VEREADOR,RAUL FERNANDO COHEN,2,MASCULINO,8,SUPERIOR COMPLETO,1,BRANCA
210000016332,2016,88013,PORTO ALEGRE,13,VEREADOR,ADRIANA MEDEIROS COLLARES,4,FEMININO,8,SUPERIOR COMPLETO,1,BRANCA
210000032768,2016,88013,PORTO ALEGRE,13,VEREADOR,CARMEM MARIA ROZA RAMIRES,4,FEMININO,6,ENSINO MÉDIO COMPLETO,1,BRANCA
210000016317,2016,88013,PORTO ALEGRE,13,VEREADOR,MARCOS CARLOS DE OLIVEIRA,2,MASCULINO,4,ENSINO FUNDAMENTAL COMPLETO,3,PARDA
210000004086,2016,88013,PORTO ALEGRE,13,VEREADOR,MARCOS VINICIO BARBOSA PIRES,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,1,BRANCA
210000030587,2016,88013,PORTO ALEGRE,13,VEREADOR,CESAR NUNES BORCKHARDT,2,MASCULINO,7,SUPERIOR INCOMPLETO,1,BRANCA
210000024153,2016,88013,PORTO ALEGRE,13,VEREADOR,JOSÉ BATISTA BRERO,2,MASCULINO,3,ENSINO FUNDAMENTAL INCOMPLETO,1,BRANCA
210000027907,2016,88013,PORTO ALEGRE,13,VEREADOR,ROBERTO VILODRE DE SOUZA,2,MASCULINO,7,SUPERIOR INCOMPLETO,1,BRANCA
210000010486,2016,88013,PORTO ALEGRE,13,VEREADOR,ROBERTO ANDRE MAZZOCCO,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,1,BRANCA
210000010498,2016,88013,PORTO ALEGRE,13,VEREADOR,ADELI SELL,2,MASCULINO,8,SUPERIOR COMPLETO,1,BRANCA
210000016336,2016,88013,PORTO ALEGRE,13,VEREADOR,CLEITON SILVESTRE MUNHOZ DE FREITAS,2,MASCULINO,8,SUPERIOR COMPLETO,2,PRETA
210000021051,2016,88013,PORTO ALEGRE,13,VEREADOR,ALEXSANDRO DA SILVA BARBOSA,2,MASCULINO,5,ENSINO MÉDIO INCOMPLETO,2,PRETA
210000006972,2016,88013,PORTO ALEGRE,13,VEREADOR,SABINA CUNHA BRAGA,4,FEMININO,6,ENSINO MÉDIO COMPLETO,1,BRANCA
210000021075,2016,88013,PORTO ALEGRE,13,VEREADOR,FARID GERMANO FILHO,2,MASCULINO,8,SUPERIOR COMPLETO,1,BRANCA
210000016343,2016,88013,PORTO ALEGRE,13,VEREADOR,LUIS HENRIQUE LEMOS DA SILVEIRA,2,MASCULINO,7,SUPERIOR INCOMPLETO,1,BRANCA
210000017040,2016,88013,PORTO ALEGRE,13,VEREADOR,GIOVANE LUIZ DE LIMA JUNIOR,2,MASCULINO,5,ENSINO MÉDIO INCOMPLETO,1,BRANCA
210000023933,2016,88013,PORTO ALEGRE,13,VEREADOR,ELISETE ALVES MORETTO,4,FEMININO,8,SUPERIOR COMPLETO,2,PRETA
210000016308,2016,88013,PORTO ALEGRE,13,VEREADOR,MARIA DE LOURDES DOS SANTOS SPRENGER,4,FEMININO,8,SUPERIOR COMPLETO,1,BRANCA
210000009218,2016,88013,PORTO ALEGRE,13,VEREADOR,BERNARDO HENRIQUE GAZZONI DEGRAZIA HOWES,2,MASCULINO,8,SUPERIOR COMPLETO,1,BRANCA
210000006975,2016,88013,PORTO ALEGRE,13,VEREADOR,MARIANA PAHIM HYPPOLITO,4,FEMININO,7,SUPERIOR INCOMPLETO,1,BRANCA
210000024702,2016,88013,PORTO ALEGRE,13,VEREADOR,CELSO DACOOLL SILVEIRA,2,MASCULINO,8,SUPERIOR COMPLETO,2,PRETA
210000024709,2016,88013,PORTO ALEGRE,13,VEREADOR,JOSE NATIVIDADE COLMAO MARTINS,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,1,BRANCA
210000006959,2016,88013,PORTO ALEGRE,13,VEREADOR,MARCO ANTÔNIO SANTOS DOS SANTOS,2,MASCULINO,4,ENSINO FUNDAMENTAL COMPLETO,2,PRETA
210000021088,2016,88013,PORTO ALEGRE,13,VEREADOR,ANA HELENA ALBRECHT FREITAS,4,FEMININO,6,ENSINO MÉDIO COMPLETO,1,BRANCA
210000006942,2016,88013,PORTO ALEGRE,13,VEREADOR,DOUGLAS FILGUEIRAS DE LIMA,2,MASCULINO,7,SUPERIOR INCOMPLETO,3,PARDA
210000030566,2016,88013,PORTO ALEGRE,13,VEREADOR,CARLOS ALBERTO SILVEIRA IGNÁCIO MOTTA,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,1,BRANCA
210000024703,2016,88013,PORTO ALEGRE,13,VEREADOR,SERGIO PANASUK,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,1,BRANCA
210000033303,2016,88013,PORTO ALEGRE,13,VEREADOR,PAULO GIOVANI VIJAL DA SILVA,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,1,BRANCA
210000030973,2016,88013,PORTO ALEGRE,11,PREFEITO,MARCELO FRANCISCO CHIODO,2,MASCULINO,7,SUPERIOR INCOMPLETO,1,BRANCA
210000022220,2016,88013,PORTO ALEGRE,13,VEREADOR,RAUL DAMO,2,MASCULINO,8,SUPERIOR COMPLETO,1,BRANCA
210000006974,2016,88013,PORTO ALEGRE,13,VEREADOR,ALEX SANDRO CAIEL DA SILVA,2,MASCULINO,8,SUPERIOR COMPLETO,1,BRANCA
210000023985,2016,88013,PORTO ALEGRE,13,VEREADOR,JOSÉ UELINTON ALEXANDRE,2,MASCULINO,8,SUPERIOR COMPLETO,1,BRANCA
210000027914,2016,88013,PORTO ALEGRE,13,VEREADOR,ARI ERCILIO MENDONÇA RODRIGUES,2,MASCULINO,3,ENSINO FUNDAMENTAL INCOMPLETO,1,BRANCA
210000030795,2016,88013,PORTO ALEGRE,13,VEREADOR,EDUARDO BOCHI DE SALES,2,MASCULINO,8,SUPERIOR COMPLETO,1,BRANCA
210000016322,2016,88013,PORTO ALEGRE,13,VEREADOR,LUIS HENRIQUE DA SILVA MARTINS,2,MASCULINO,6,ENSINO MÉDIO COMPLETO,1,BRANCA
210000010474,2016,88013,PORTO ALEGRE,13,VEREADOR,LAURA SOARES SITO SILVEIRA,4,FEMININO,7,SUPERIOR INCOMPLETO,2,PRETA
210000030803,2016,88013,PORTO ALEGRE,13,VEREADOR,LUIZ REINALDO FRANÇA PINTO,2,MASCULINO,8,SUPERIOR COMPLETO,1,BRANCA
